ID,quantity,Running Inventory,user_id,created_at,updated_at,transaction_type,all_id,principal_id,sku_type,adjustment,remarks,amount,running_amount
1270,27,27,1,,,migration,,7,CASE,0,,630.6442671,17027.39521
1271,4,4,1,,,migration,,7,CASE,0,,865.67166,3462.68664
1272,4,4,1,,,migration,,7,CASE,0,,630.6442671,2522.577068
1273,8,8,1,,,migration,,7,CASE,0,,865.67166,6925.37328
1274,5,5,1,,,migration,,7,CASE,0,,1183.016203,5915.081016
1275,679,679,1,,,migration,,7,CASE,0,,865.67166,587791.0571
1276,397,397,1,,,migration,,7,CASE,0,,865.67166,343671.649
1277,0,0,1,,,migration,,7,CASE,0,,1061.362361,0
1278,241,241,1,,,migration,,7,CASE,0,,1061.362361,255788.3289
1279,1500,1500,1,,,migration,,7,CASE,0,,1061.362361,1592043.541
1280,11,11,1,,,migration,,7,CASE,0,,802.1988022,8824.186824
1281,224,224,1,,,migration,,7,CASE,0,,802.1988022,179692.5317
1282,129,129,1,,,migration,,7,CASE,0,,1061.362361,136915.7445
1283,152,152,1,,,migration,,7,CASE,0,,1061.362361,161327.0788
1284,7,7,1,,,migration,,7,CASE,0,,1214.747696,8503.233869
1285,10,10,1,,,migration,,7,CASE,0,,1214.747696,12147.47696
1286,0,0,1,,,migration,,7,CASE,0,,0,0
1287,0,0,1,,,migration,,7,CASE,0,,0,0
1288,0,0,1,,,migration,,7,CASE,0,,0,0
1289,302,302,1,,,migration,,7,CASE,0,,628.5314671,189816.5031
1290,0,0,1,,,migration,,7,CASE,0,,0,0
1291,0,0,1,,,migration,,7,CASE,0,,823.3564215,0
1292,3,3,1,,,migration,,7,CASE,0,,632.947721,1898.843163
1293,5077,5077,1,,,migration,,7,CASE,0,,1214.747696,6167274.051
1294,3,3,1,,,migration,,7,CASE,0,,1212.97,3644.25
1295,0,0,1,,,migration,,7,CASE,0,,0,0
1296,0,0,1,,,migration,,7,CASE,0,,918.5607717,0
1297,11,11,1,,,migration,,7,CASE,0,,1214.747696,13362.22465
1298,68,68,1,,,migration,,7,CASE,0,,1167.150457,79366.23107
1299,5,5,1,,,migration,,7,CASE,0,,1167.150457,5835.752285
1300,53,53,1,,,migration,,7,CASE,0,,1119.543345,59335.7973
1301,5,5,1,,,migration,,7,CASE,0,,1119.543345,5597.716727
1302,163,163,1,,,migration,,7,CASE,0,,1260.232134,205417.8379
1303,0,0,1,,,migration,,7,CASE,0,,1260.232134,0
1304,0,0,1,,,migration,,7,CASE,0,,1260.232134,0
1305,0,0,1,,,migration,,7,CASE,0,,1119.543345,0
1306,365,365,1,,,migration,,7,CASE,0,,1183.016203,431800.9142
1307,0,0,1,,,migration,,7,CASE,0,,876.2455332,0
1308,0,0,1,,,migration,,7,CASE,0,,1204.173822,0
1309,31,31,1,,,migration,,7,CASE,0,,1004.247649,31131.67711
1310,133,133,1,,,migration,,7,CASE,0,,1004.247649,133564.9373
1311,260,260,1,,,migration,,7,CASE,0,,1004.247649,261104.3887
1312,0,0,1,,,migration,,7,CASE,0,,558.90099,0
1313,0,0,1,,,migration,,7,CASE,0,,0,0
1314,0,0,1,,,migration,,7,CASE,0,,0,0
1315,0,0,1,,,migration,,7,CASE,0,,0,0
1316,0,0,1,,,migration,,7,CASE,0,,0,0
1317,0,0,1,,,migration,,7,CASE,0,,0,0
1318,0,0,1,,,migration,,7,CASE,0,,975.6853564,0
1319,0,0,1,,,migration,,7,CASE,0,,558.90099,0
1320,2,2,1,,,migration,,7,CASE,0,,1183.016203,2366.032406
1321,0,0,1,,,migration,,7,CASE,0,,0,0
1322,0,0,1,,,migration,,7,CASE,0,,951.1808249,0
1323,0,0,1,,,migration,,7,CASE,0,,0,0
1324,0,0,1,,,migration,,7,CASE,0,,0,0
1325,0,0,1,,,migration,,7,CASE,0,,0,0
1326,0,0,1,,,migration,,7,CASE,0,,0,0
1327,0,0,1,,,migration,,7,CASE,0,,337.6364162,0
1328,0,0,1,,,migration,,7,CASE,0,,337.6364162,0
1329,0,0,1,,,migration,,7,CASE,0,,337.6364162,0
1330,0,0,1,,,migration,,7,CASE,0,,337.6364162,0
1331,0,0,1,,,migration,,7,CASE,0,,337.6364162,0
1332,0,0,1,,,migration,,7,CASE,0,,337.6364162,0
1333,14,14,1,,,migration,,7,CASE,0,,369.6344769,5174.882676
1334,2,2,1,,,migration,,7,CASE,0,,369.6344769,739.2689538
1335,0,0,1,,,migration,,7,CASE,0,,337.6364162,0
1336,0,0,1,,,migration,,7,CASE,0,,1204.173822,0
1337,0,0,1,,,migration,,7,CASE,0,,0,0
1338,0,0,1,,,migration,,7,CASE,0,,1204.173822,0
1339,0,0,1,,,migration,,7,CASE,0,,1183.016203,0
1340,1290,1290,1,,,migration,,7,CASE,0,,1024.338995,1321397.304
1341,0,0,1,,,migration,,7,CASE,0,,879.7701576,0
1342,0,0,1,,,migration,,7,CASE,0,,811.0152996,0
1343,1,1,1,,,migration,,7,CASE,0,,1251.771061,1251.771061
1344,146,146,1,,,migration,,7,CASE,0,,995.2534392,145307.0021
1345,356,356,1,,,migration,,7,CASE,0,,995.2534392,354310.2244
1346,143,143,1,,,migration,,7,CASE,0,,995.2534392,142321.2418
1347,184,184,1,,,migration,,7,CASE,0,,1024.338995,188478.3751
1348,314,314,1,,,migration,,7,CASE,0,,1024.338995,321642.4445
1349,0,0,1,,,migration,,7,CASE,0,,0,0
1350,37,37,1,,,migration,,7,CASE,0,,977.7981565,36178.53179
1351,0,0,1,,,migration,,7,CASE,0,,0,0
1352,2,2,1,,,migration,,7,CASE,0,,911.5115229,1823.023046
1353,908,908,1,,,migration,,7,CASE,0,,1183.016203,1074178.712
1354,1513,1513,1,,,migration,,7,CASE,0,,1167.150457,1765898.641
1355,273,273,1,,,migration,,7,CASE,0,,1167.150457,318632.0747
1356,15,15,1,,,migration,,7,CASE,0,,1167.150457,17507.25685
1357,15,15,1,,,migration,,7,CASE,0,,1167.150457,17507.25685
1358,0,0,1,,,migration,,7,CASE,0,,796.9168021,0
1359,0,0,1,,,migration,,7,CASE,0,,461.0476345,0
1360,0,0,1,,,migration,,7,CASE,0,,461.0476345,0
1361,142,142,1,,,migration,,7,CASE,0,,1167.150457,165735.3649
1362,0,0,1,,,migration,,7,CASE,0,,461.0476345,0
1363,6,6,1,,,migration,,7,CASE,0,,1167.150457,7002.902742
1364,0,0,1,,,migration,,7,CASE,0,,0,0
1365,0,0,1,,,migration,,7,CASE,0,,678.7875839,0
1366,0,0,1,,,migration,,7,CASE,0,,705.2370762,0
1367,0,0,1,,,migration,,7,CASE,0,,705.2370762,0
1368,347,347,1,,,migration,,7,CASE,0,,1183.016203,410506.6225
1369,0,0,1,,,migration,,7,CASE,0,,678.7875839,0
1370,0,0,1,,,migration,,7,CASE,0,,705.2370762,0
1371,0,0,1,,,migration,,7,CASE,0,,934.4265179,0
1372,3,3,1,,,migration,,7,CASE,0,,1183.016203,3549.048609
1373,88,88,1,,,migration,,7,CASE,0,,796.9168021,70128.67858
1374,1,1,1,,,migration,,7,CASE,0,,796.9168021,796.9168021
1375,6,6,1,,,migration,,7,CASE,0,,796.9168021,4781.500812
1376,0,0,1,,,migration,,7,CASE,0,,0,0
1377,1,1,1,,,migration,,7,CASE,0,,796.9168021,796.9168021
1378,10,10,1,,,migration,,7,CASE,0,,720.2241346,7202.241346
1379,3,3,1,,,migration,,7,CASE,0,,720.2241346,2160.672404
1380,40,40,1,,,migration,,7,CASE,0,,720.2241346,28808.96538
1381,17,17,1,,,migration,,7,CASE,0,,720.2241346,12243.81029
1382,4,4,1,,,migration,,7,CASE,0,,796.9168021,3187.667208
1383,2,2,1,,,migration,,7,CASE,0,,796.9168021,1593.833604
1384,3,3,1,,,migration,,7,CASE,0,,796.9168021,2390.750406
1385,3,3,1,,,migration,,7,CASE,0,,796.9168021,2390.750406
1386,0,0,1,,,migration,,7,CASE,0,,876.2455332,0
1387,53,53,1,,,migration,,7,CASE,0,,796.9168021,42236.59051
1388,0,0,1,,,migration,,7,CASE,0,,704.3583883,0
1389,0,0,1,,,migration,,7,CASE,0,,704.3583883,0
1390,0,0,1,,,migration,,7,CASE,0,,410.7945864,0
1391,0,0,1,,,migration,,7,CASE,0,,410.7945864,0
1392,0,0,1,,,migration,,7,CASE,0,,0,0
1393,0,0,1,,,migration,,7,CASE,0,,410.7945864,0
1394,0,0,1,,,migration,,7,CASE,0,,802.1858606,0
1395,0,0,1,,,migration,,7,CASE,0,,802.1858606,0
1396,0,0,1,,,migration,,7,CASE,0,,652.3479645,0
1397,0,0,1,,,migration,,7,CASE,0,,652.3479645,0
1398,0,0,1,,,migration,,7,CASE,0,,550.0943655,0
1399,0,0,1,,,migration,,7,CASE,0,,352.6136017,0
1400,0,0,1,,,migration,,7,CASE,0,,522.7661853,0
1401,112,112,1,,,migration,,7,CASE,0,,833.9401675,93401.29877
1402,0,0,1,,,migration,,7,CASE,0,,675.2629595,0
1403,0,0,1,,,migration,,7,CASE,0,,675.2629595,0
1404,0,0,1,,,migration,,7,CASE,0,,684.0794569,0
1405,0,0,1,,,migration,,7,CASE,0,,590.6423554,0
1406,0,0,1,,,migration,,7,CASE,0,,590.6423554,0
1407,0,0,1,,,migration,,7,CASE,0,,467.2311371,0
1408,0,0,1,,,migration,,7,CASE,0,,467.2311371,0
1409,161,161,1,,,migration,,7,CASE,0,,1019.922741,164207.5613
1410,6,6,1,,,migration,,7,CASE,0,,1019.922741,6119.536447
1411,74,74,1,,,migration,,7,CASE,0,,421.2006203,31168.8459
1412,24,24,1,,,migration,,7,CASE,0,,421.2006203,10108.81489
1413,32,32,1,,,migration,,7,CASE,0,,421.2006203,421.2006203
1414,0,0,1,,,migration,,7,CASE,0,,402.1558011,0
1415,3,3,1,,,migration,,7,CASE,0,,1183.016203,3549.048609
1416,0,0,1,,,migration,,7,CASE,0,,676.1287057,0
