Date,Account ID,Invoice/CM #,Line Description,Debit Amnt,Credit Amnt,Name,Sales Rep Name,Qty,Item ID,Item Description,Sku Type,Principla
04/11/2023,4000,COL23-04C-0030,BUTTERKIST 50PCSX40,,1456.13,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,837,BUTTERKIST 50PCSX40,CASE,CIFPI
04/11/2023,5000,COL23-04C-0030,Cost of sales,1087.68,,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,837,BUTTERKIST 50PCSX40,CASE,CIFPI
04/11/2023,1200,COL23-04C-0030,Cost of sales,,1087.68,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,837,BUTTERKIST 50PCSX40,CASE,CIFPI
04/11/2023,4000,COL23-04C-0030,CHAMPI CHOCO 50PCSX40,,1475.99,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,971,CHAMPI CHOCO 50PCSX40,CASE,CIFPI
04/11/2023,5000,COL23-04C-0030,Cost of sales,1134.04,,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,971,CHAMPI CHOCO 50PCSX40,CASE,CIFPI
04/11/2023,1200,COL23-04C-0030,Cost of sales,,1134.04,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,971,CHAMPI CHOCO 50PCSX40,CASE,CIFPI
04/11/2023,4000,COL23-04C-0030,CHOCO JOY 50PCSX40,,1475.99,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,809,CHOCO JOY 50PCSX40,CASE,CIFPI
04/11/2023,5000,COL23-04C-0030,Cost of sales,1134.04,,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,809,CHOCO JOY 50PCSX40,CASE,CIFPI
04/11/2023,1200,COL23-04C-0030,Cost of sales,,1134.04,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,809,CHOCO JOY 50PCSX40,CASE,CIFPI
04/11/2023,4000,COL23-04C-0030,FROOTY CHOCOLICIOUS 20PCSX50,,1241.02,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,868,FROOTY CHOCOLICIOUS 20PCSX50,CASE,CIFPI
04/11/2023,5000,COL23-04C-0030,Cost of sales,940,,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,868,FROOTY CHOCOLICIOUS 20PCSX50,CASE,CIFPI
04/11/2023,1200,COL23-04C-0030,Cost of sales,,940,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,868,FROOTY CHOCOLICIOUS 20PCSX50,CASE,CIFPI
04/11/2023,4000,COL23-04C-0030,FRUTOS DOUBLICIOUS 50PCSX40,,1456.13,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,878,FRUTOS DOUBLICIOUS 50PCSX40,CASE,CIFPI
04/11/2023,4000,COL23-04C-0030,ICOOL MENTHOLATED GUM 50PCSX40,,1515.7,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,975,ICOOL MENTHOL GUM 50PCSX40,CASE,CIFPI
04/11/2023,5000,COL23-04C-0030,Cost of sales,1166.88,,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,975,ICOOL MENTHOL GUM 50PCSX40,CASE,CIFPI
04/11/2023,1200,COL23-04C-0030,Cost of sales,,1166.88,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,975,ICOOL MENTHOL GUM 50PCSX40,CASE,CIFPI
04/11/2023,4000,COL23-04C-0030,MONAMI STRAWBERRY&CREAM 50PCSX40,,1396.56,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,965,MONAMI STRW&CREAM 50PCSX40,CASE,CIFPI
04/11/2023,5000,COL23-04C-0030,Cost of sales,1111.15,,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,965,MONAMI STRW&CREAM 50PCSX40,CASE,CIFPI
04/11/2023,1200,COL23-04C-0030,Cost of sales,,1111.15,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,965,MONAMI STRW&CREAM 50PCSX40,CASE,CIFPI
04/11/2023,4000,COL23-04C-0030,PINGPONG GUM 200PCSX24,,798.89,GAISANO SUKI CLUB/NEOPACE INC.,RHALF CAGALITAN,1,801,PINGPONG GUM 200PCSX24,CASE,CIFPI
